bhk,price,price_fmt,locality,developer,project,area_sqft,possession,nearest_railway,nearest_hospital,nearest_market,city
2,22500000,2.25 Cr,Jogeshwari Vikhroli Link Road,Kalpataru Ltd.,,618.0,ready to move,,Troma Hospital,,Mumbai
4,149500000,14.95 Cr,Goregaon East,Oberoi Realty Ltd.,,2053.0,ready to move,Aarey Metro Station|5 minutes,H B T Trauma Care Municipal Hospital,Orchard Road Mall,Mumbai
2,18500000,1.85 Cr,1000 sqft,Satellite Builders Pvt. Ltd.,,,ready to move,Aarey Metro Station|5 minutes,Nalini Speciality Hospital,Oberoi Mall,Mumbai
3,37700000,3.77 Cr,Goregaon West,The Wadhwa Group,,850.0,ready to move,Lower Malad Metro Station|5 minutes,Pooja Hospital,New Star Bazar,Mumbai
2,15700000,1.57 Cr,Marol,I STAY HOUSING PRIVATE LIMITED,Marol is available for purchase at price of ₹1,,nov '28,Marol Naka Metro Station|5 minutes,DR. F. F. Pardiwala,Phoenix Marketcity Mall,Mumbai
1,11712750,1.17 Cr,Tilak Nagar Chembur,Srushtiraj Enterprises,,,dec '26,Nahur Railway Station,Srv Hospital,,Mumbai
3,31000000,3.10 Cr,Mulund West,Ashwin Sheth Group and Emami Group,Mulund West,,ready to move,Mulund Railway Station (W) Bus Stop,ESIC Hospital,Food Bazaar,Mumbai
3,30000000,3 Cr,Borivali West,Cooperative Group Housing Society,,875.0,ready to move,Borivali (West) Metro Station,Phoenix Hospitals,N-MORE,Mumbai
2,24200000,2.42 Cr,LBS Road,Mahindra Lifespace Developers Ltd.,Mahindra Rainforest,,dec '31,,,,Mumbai
3,39600000,3.96 Cr,LBS Road,Mahindra Lifespace Developers Ltd.,,,dec '31,,,,Mumbai
3,37500000,3.75 Cr,MHB Colony Sion East,Dosti Realty ,MHB Colony Sion East,,ready to move,,,,Mumbai
2,18000000,1.80 Cr,Kanjurmarg West,Runwal Group,,662.0,ready to move,Kanjur Marg Station (W) Bus Stop,,,Mumbai
3,41000000,4.10 Cr,Goregaon West,Ekta World,,1062.0,ready to move,Lower Malad Metro Station|5 minutes,Matoshree Gomanti Hospital,Vijay Sales,Mumbai
2,14000000,1.40 Cr,Goregaon East,Parekh Developers,Bhanushanti Apartment which is a 17 years old construction,,ready to move,Aarey Metro Station|5 minutes,Nalini Speciality Hospital,Oberoi Mall,Mumbai
4,108550000,10.85 Cr,2171 sqft,Ajmera Realty & Infra India Ltd. and Sheetal Infrastructure Pvt. Ltd.,,,Dec '29,Yari Road Bus Stop,Kripa Hospital,,Mumbai
3,123000000,12.30 Cr,Dadar East,Bombay Realty,,,ready to move,Dadar (E) Tt Circle Bus Stop,Dr Karvar Hospital,Hindmata Cinema,Mumbai
4,150000000,15 Cr,Goregaon East,Oberoi Realty Ltd.,,,ready to move,Aarey Metro Station|5 minutes,Nalini Speciality Hospital,Oberoi Mall,Mumbai
2,21500000,2.15 Cr,Marol,Kanakia Spaces Realty Pvt. Ltd.,,,ready to move,Marol Naka Metro Station|5 minutes,DR. F. F. Pardiwala,Phoenix Marketcity Mall,Mumbai
3,57500000,5.75 Cr,Powai,L & T Realty,,1150.0,ready to move,Kensington Society Bus Stop,Nihal Nursing,Galleria Shopping Mall,Mumbai
1,19000000,1.90 Cr,Goregaon West,Radius Developers,,400.0,ready to move,Lower Malad Metro Station|5 minutes,Siddharth Hospital,InOrbit Mall,Mumbai
1,16000000,1.60 Cr,Mulund West,Piramal Realty,,471.0,ready to move,Mulund Railway Station (W) Bus Stop,Padmashree Endoscopic Centre,Star Bazaar,Mumbai
2,52000000,5.20 Cr,Santacruz West,AVM Developers Pvt. Ltd.,,,ready to move,Santacruz Police Station \u002F V.P. Road Bus Stop,Surya Hospital,Milan Mall,Mumbai
3,310000,3.1 Lac,Chandivali,Nahar Group,,807.0,ready to move,Oshiwara Police Station Bus Stop,Pranjali Hospital,DMart,Mumbai
